protein_IDs	previous_values	modified_values	flex_Mass
prot_P00425	2.92492815142496e-06	4.05472700717115e-06	1.94285860228394e-05
prot_P00427	2.92492815142496e-06	4.05472700717115e-06	1.95922825790485e-05
prot_P00931	7.60397489961594e-06	3.74098068793103e-05	0.0022838766443772
prot_P04037	2.92492815142496e-06	4.05472700717115e-06	1.93674639047436e-05
prot_P04039	5.84992932747047e-06	8.10955524585494e-06	2.01254938196465e-05
prot_P07283	1.75414040074e-05	2.14192312031629e-05	0.000112699197763771
prot_P10174	2.92492815142496e-06	4.05472700717115e-06	7.83210460768934e-06
prot_P10659	4.91603492070855e-06	6.24359995354451e-06	5.5516021613582e-05
prot_P21147	5.8430691281201e-06	7.13478573216213e-06	7.54392464585759e-05
prot_P24521	1.38469013802941e-06	1.69079293165457e-06	1.54442236075975e-05
prot_P32264	2.63742690278746e-07	4.02232684974168e-07	6.53141527342737e-06
prot_P32476	1.03243858059167e-05	1.26067609787191e-05	0.000125816775879547
prot_P32799	2.92492815142496e-06	4.05472700717115e-06	1.69706747181979e-05
prot_P32895	5.08969799490587e-06	1.1141516566969e-05	0.000284720816132638
prot_P33330	3.7484601975739e-06	8.84923926021345e-05	0.00367915867278332
prot_P37291	1.04058542425498e-05	2.75989894476872e-05	0.0008977899306224
prot_P37292	3.53695018151283e-06	1.27507707696587e-05	0.000494652158574934
prot_P38858	2.64299762711183e-06	3.13804225804667e-06	1.37544041834808e-05
prot_P38972	3.17001783743473e-06	5.07303323394372e-05	0.00708190109527409
prot_P53045	3.7662963957874e-06	4.59889811648579e-06	3.03722200628234e-05
prot_P54839	5.21534036681064e-06	1.38522545058528e-05	0.000475141089255724
prot_Q01519	2.92492815142496e-06	4.05472700717115e-06	1.10582226442955e-05
prot_Q08911	9.14884482631685e-06	7.19232393857323e-05	0.00261855853977255
prot_Q12122	3.03473487858155e-06	1.3604656174326e-05	0.000513631795867442
prot_Q12452	2.14973203111761e-06	2.62496562934183e-06	1.88782792549148e-05
